13960KDAL DAL2008100100440644   0.093 N                 0.075 N     276     0   294    0    13L60+              
13960KDAL DAL2008100100450645   0.085 N                 0.070 N     289     0   285    0    13L60+              
13960KDAL DAL2008100100460646   0.093 N                 0.067 N     293     0   288    0    13L60+              
13960KDAL DAL2008100100470647   0.089 N                 0.059 N     286     0   287    0    13L60+              
13960KDAL DAL2008100100480648   0.085 N                 0.061 N     286     0   294    0    13L60+              
13960KDAL DAL2008100100490649   0.083 N                 0.057 N     290     0   288    0    13L60+              
13960KDAL DAL2008100100500650   0.094 N                 0.068 N     294     0   314    0    13L60+              
13960KDAL DAL2008100100510651   0.087 N                 0.063 N     302     0   301    0    13L60+              
13960KDAL DAL2008100100520652   0.089 N                 0.062 N     304     0   303    0    13L60+              
13960KDAL DAL2008100100530653   0.086 N                 0.057 N     301     0   314    0    13L60+              
13960KDAL DAL2008100100540654   0.083 N                 0.061 N     308     0   301    0    13L60+              
13960KDAL DAL2008100100550655   0.084 N                 0.062 N     309     0   301    0    13L60+              
13960KDAL DAL2008100100560656   0.085 N                 0.065 N     327     1    26    2    13L60+              
13960KDAL DAL2008100100570657   0.082 N                 0.064 N     355     1     4    1    13L60+              
13960KDAL DAL2008100100580658   0.083 N                 0.055 N     349     1   334    1    13L60+              
13960KDAL DAL2008100100590659   0.084 N                 0.056 N     334     1   332    1    13L60+              
13960KDAL DAL2008100101000700   0.083 N                 0.056 N     339     1   330    2    13L60+              
13960KDAL DAL2008100101010701   0.083 N                 0.051 N     349     1    10    1    13L60+              
13960KDAL DAL2008100101020702   0.081 N                 0.060 N     352     1   331    2    13L60+              
13960KDAL DAL2008100101030703   0.082 N                 0.061 N     350     2    14    2    13L60+              
13960KDAL DAL2008100101040704   0.089 N                 0.064 N     351     2    19    2    13L60+              
13960KDAL DAL2008100101050705   0.085 N                 0.060 N     343     1    11    2    13L60+              
13960KDAL DAL2008100101060706   0.086 N                 0.064 N     336     1   356    2    13L60+              
13960KDAL DAL2008100101070707   0.084 N                 0.069 N     338     2   317    2    13L60+              
13960KDAL DAL2008100101080708   0.086 N                 0.072 N     332     2   339    2    13L60+              
13960KDAL DAL2008100101090709   0.089 N                 0.066 N     331     2   322    3    13L60+              
13960KDAL DAL2008100101100710   0.084 N                 0.064 N     332     3   356    3    13L60+              
13960KDAL DAL2008100101110711   0.084 N                 0.069 N     325     2   304    2    13L60+              
13960KDAL DAL2008100101120712   0.087 N                 0.071 N     318     2   312    3    13L60+              
13960KDAL DAL2008100101130713   0.087 N                 0.063 N     314     2   300    2    13L60+              
13960KDAL DAL2008100101140714   0.088 N                 0.059 N     315     2   331    3    13L60+              
13960KDAL DAL2008100101150715   0.089 N                 0.064 N     322     2   321    3    13L60+              
13960KDAL DAL2008100101160716   0.087 N                 0.065 N     323     2   316    2    13L60+              
13960KDAL DAL2008100101170717   0.087 N                 0.071 N     318     2   320    3    13L60+              
13960KDAL DAL2008100101180718   0.088 N                 0.066 N     321     2   323    2    13L60+              
13960KDAL DAL2008100101190719   0.090 N                 0.064 N     322     2   338    2    13L60+              
13960KDAL DAL2008100101200720   0.088 N                 0.062 N     331     2   340    3    13L60+              
13960KDAL DAL2008100101210721   0.084 N                 0.051 N     335     2   354    2    13L60+              
13960KDAL DAL2008100101220722   0.084 N                 0.062 N     331     1   344    2    13L60+              
13960KDAL DAL2008100101230723   0.083 N                 0.063 N     331     1   329    1    13L60+              
13960KDAL DAL2008100101240724   0.085 N                 0.060 N     326     2   331    3    13L60+              
13960KDAL DAL2008100101250725   0.084 N                 0.063 N     328     2   313    2    13L60+              
13960KDAL DAL2008100101260726   0.084 N                 0.062 N     335     1   316    1    13L60+              
13960KDAL DAL2008100101270727   0.084 N                 0.068 N     332     1   303    1    13L60+              
13960KDAL DAL2008100101280728   0.084 N                 0.066 N     323     1   321    1    13L60+              
13960KDAL DAL2008100101290729   0.088 N                 0.065 N     322     1   331    1    13L60+              
13960KDAL DAL2008100101300730   0.084 N                 0.068 N     320     1   313    1    13L60+              
13960KDAL DAL2008100101310731   0.084 N                 0.063 N     316     1   318    1    13L60+              
13960KDAL DAL2008100101320732   0.085 N                 0.067 N     319     1   346    1    13L60+              
13960KDAL DAL2008100101330733   0.084 N                 0.069 N     325     0   336    1    13L60+              
13960KDAL DAL2008100101340734   0.085 N                 0.059 N     319     1   310    2    13L60+              
13960KDAL DAL2008100101350735   0.087 N                 0.059 N     311     1   313    2    13L60+              
13960KDAL DAL2008100101360736   0.085 N                 0.065 N     315     1   317    1    13L60+              
13960KDAL DAL2008100101370737   0.083 N                 0.071 N     335     0   357    0    13L60+              
13960KDAL DAL2008100101380738   0.084 N                 0.064 N     346     0   288    0    13L60+              
13960KDAL DAL2008100101390739   0.083 N                 0.060 N     317     0   306    0    13L60+              
13960KDAL DAL2008100101400740   0.082 N                 0.066 N     328     0     8    0    13L60+              
13960KDAL DAL2008100101410741   0.083 N                 0.061 N     360     0   324    0    13L60+              
13960KDAL DAL2008100101420742   0.083 N                 0.071 N     338     0   319    0    13L60+              
13960KDAL DAL2008100101430743   0.083 N                 0.073 N     328     0   347    0    13L60+              
13960KDAL DAL2008100101440744   0.084 N                 0.058 N     316     0   292    0    13L60+              
13960KDAL DAL2008100101450745   0.084 N                 0.059 N     306     0    70    0    13L60+              
13960KDAL DAL2008100101460746   0.085 N                 0.058 N      12     0    65    0    13L60+              
13960KDAL DAL2008100101470747   0.082 N                 0.050 N      65     0    62    0    13L60+              
13960KDAL DAL2008100101480748   0.082 N                 0.058 N      57     0    77    0    13L60+              
13960KDAL DAL2008100101490749   0.083 N                 0.058 N      64     0    76    0    13L60+              
13960KDAL DAL2008100101500750   0.083 N                 0.062 N      76     0    76    0    13L60+              
13960KDAL DAL2008100101510751   0.082 N                 0.070 N      63     0    41    0    13L60+              
13960KDAL DAL2008100101520752   0.082 N                 0.069 N      45     0    37    0    13L60+              
13960KDAL DAL2008100101530753   0.083 N                 0.065 N      38     0    37    0    13L60+              
13960KDAL DAL2008100101540754   0.083 N                 0.062 N      42     0    58    0    13L60+              
13960KDAL DAL2008100101550755   0.083 N                 0.060 N      53     0    58    0    13L60+              
13960KDAL DAL2008100101560756   0.082 N                 0.063 N      59     0    63    0    13L60+              
13960KDAL DAL2008100101570757   0.082 N                 0.063 N      47     0    19    0    13L60+              
13960KDAL DAL2008100101580758   0.083 N                 0.063 N      27     0    11    0    13L60+              
13960KDAL DAL2008100101590759   0.083 N                 0.063 N      20     0   344    1    13L60+              
13960KDAL DAL2008100102000800   0.083 N                 0.058 N       3     1   352    1    13L60+              
13960KDAL DAL2008100102010801   0.082 N                 0.061 N     359     1    12    1    13L60+              
13960KDAL DAL2008100102020802   0.082 N                 0.068 N       4     1   360    1    13L60+              
13960KDAL DAL2008100102030803   0.083 N                 0.059 N       1     0     9    0    13L60+              
13960KDAL DAL2008100102040804   0.082 N                 0.054 N     360     0   346    0    13L60+              
13960KDAL DAL2008100102050805   0.082 N                 0.068 N     357     0   358    0    13L60+              
13960KDAL DAL2008100102060806   0.082 N                 0.062 N     357     0   353    0    13L60+              
13960KDAL DAL2008100102070807   0.081 N                 0.072 N     356     0   358    0    13L60+              
13960KDAL DAL2008100102080808   0.083 N                 0.066 N     358     1   355    2    13L60+              
13960KDAL DAL2008100102090809   0.082 N                 0.066 N     358     2     2    2    13L60+              
13960KDAL DAL2008100102100810   0.082 N                 0.067 N       1     2     5    2    13L60+              
13960KDAL DAL2008100102110811   0.083 N                 0.068 N       4     2     2    2    13L60+              
13960KDAL DAL2008100102120812   0.082 N                 0.064 N     360     2   358    2    13L60+              
13960KDAL DAL2008100102130813   0.083 N                 0.069 N     357     2   357    2    13L60+              
13960KDAL DAL2008100102140814   0.082 N                 0.060 N     356     2   355    2    13L60+              
13960KDAL DAL2008100102150815   0.083 N                 0.063 N     358     2     1    2    13L60+              
13960KDAL DAL2008100102160816   0.082 N                 0.063 N       1     2     2    2    13L60+              
13960KDAL DAL2008100102170817   0.084 N                 0.065 N       4     2   355    2    13L60+              
13960KDAL DAL2008100102180818   0.080 N                 0.064 N       2     2   358    2    13L60+              
13960KDAL DAL2008100102190819   0.083 N                 0.064 N     357     1   357    2    13L60+              
13960KDAL DAL2008100102200820   0.083 N                 0.066 N     357     1   352    2    13L60+              
13960KDAL DAL2008100102210821   0.082 N                 0.067 N     355     2   349    2    13L60+              
13960KDAL DAL2008100102220822   0.081 N                 0.061 N     350     2   344    2    13L60+              
13960KDAL DAL2008100102230823   0.082 N                 0.063 N     344     2   342    2    13L60+              
13960KDAL DAL2008100102240824   0.083 N                 0.061 N     342     2   341    2    13L60+              
13960KDAL DAL2008100102250825   0.082 N                 0.065 N     338     2   326    2    13L60+              
13960KDAL DAL2008100102260826   0.082 N                 0.067 N     325     2   321    2    13L60+              
13960KDAL DAL2008100102270827   0.082 N                 0.071 N     308     1   300    1    13L60+              
13960KDAL DAL2008100102280828   0.086 N                 0.065 N     304     1   309    1    13L60+              
13960KDAL DAL2008100102290829   0.086 N                 0.059 N     311     1   325    2    13L60+              
13960KDAL DAL2008100102300830   0.086 N                 0.055 N     320     1   321    1    13L60+              
13960KDAL DAL2008100102310831   0.086 N                 0.054 N     323     1   321    1    13L60+              
13960KDAL DAL2008100102320832   0.086 N                 0.055 N     323     0    20    0    13L60+              
13960KDAL DAL2008100102330833   0.086 N                 0.059 N     340     0   343    0    13L60+              
13960KDAL DAL2008100102340834   0.085 N                 0.066 N     353     0     3    0    13L60+              
13960KDAL DAL2008100102350835   0.085 N                 0.060 N     359     0   339    0    13L60+              
13960KDAL DAL2008100102360836   0.085 N                 0.069 N     354     0   336    0    13L60+              
13960KDAL DAL2008100102370837   0.083 N                 0.064 N     351     0   355    0    13L60+              
13960KDAL DAL2008100102380838   0.084 N                 0.060 N     359     0     4    0    13L60+              
13960KDAL DAL2008100102390839   0.084 N                 0.059 N     354     0   325    0    13L60+              
13960KDAL DAL2008100102400840   0.084 N                 0.060 N     338     0   326    0    13L60+              
13960KDAL DAL2008100102410841   0.083 N                 0.061 N     333     0   313    0    13L60+              
13960KDAL DAL2008100102420842   0.082 N                 0.062 N     333     0   339    0    13L60+              
